id,groupkey,name,parent_id/id
product_category#711,711,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#712,712,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#713,713,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#714,714,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#715,715,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#716,716,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#717,717,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#723,723,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#2803,2803,ABS-SENSOREN,O#product_category#0
product_category#4507,4507,AZV,O#product_category#0
product_category#749,749,PFLEGEMITTEL SOMMER,O#product_category#0
product_category#750,750,PFLEGEMITTEL WINTER,O#product_category#0
product_category#751,751,PFLEGEMITTEL WINTER,O#product_category#0
product_category#752,752,PFLEGEMITTEL WINTER,O#product_category#0
product_category#753,753,PFLEGEMITTEL WINTER,O#product_category#0
product_category#754,754,PFLEGEMITTEL WINTER,O#product_category#0
product_category#755,755,PFLEGEMITTEL WINTER,O#product_category#0
product_category#756,756,PFLEGEMITTEL WINTER,O#product_category#0
product_category#757,757,PFLEGEMITTEL WINTER,O#product_category#0
product_category#758,758,PFLEGEMITTEL WINTER,O#product_category#0
product_category#759,759,PFLEGEMITTEL WINTER,O#product_category#0
product_category#760,760,PFLEGEMITTEL WINTER,O#product_category#0
product_category#761,761,PFLEGEMITTEL WINTER,O#product_category#0
product_category#762,762,PFLEGEMITTEL WINTER,O#product_category#0
product_category#763,763,PFLEGEMITTEL WINTER,O#product_category#0
product_category#764,764,PFLEGEMITTEL WINTER,O#product_category#0
product_category#766,766,PFLEGEMITTEL WINTER,O#product_category#0
product_category#768,768,CHEM. PRODUKTE,O#product_category#0
product_category#769,769,PFLEGEMITTEL WINTER,O#product_category#0
product_category#799,799,PFLEGEMITTEL WINTER,O#product_category#0
product_category#800,800,LACKZUSAETZE,O#product_category#0
product_category#801,801,LACKZUSAETZE,O#product_category#0
product_category#802,802,LACKZUSAETZE,O#product_category#0
product_category#803,803,LACKZUSAETZE,O#product_category#0
product_category#804,804,LACKZUSAETZE,O#product_category#0
product_category#805,805,LACKZUSAETZE,O#product_category#0
product_category#806,806,LACKZUSAETZE,O#product_category#0
product_category#807,807,LACKZUSAETZE,O#product_category#0
product_category#809,809,LACKZUSAETZE,O#product_category#0
product_category#810,810,LACKZUSAETZE,O#product_category#0
product_category#811,811,LACKZUSAETZE,O#product_category#0
product_category#815,815,LACKZUSAETZE,O#product_category#0
product_category#829,829,LACKZUSAETZE SONST.,O#product_category#0
product_category#830,830,MISCHLACKE,O#product_category#0
product_category#831,831,MISCHLACKE,O#product_category#0
product_category#832,832,MISCHLACKE,O#product_category#0
product_category#833,833,MISCHLACKE,O#product_category#0
product_category#834,834,MISCHLACKE,O#product_category#0
product_category#835,835,MISCHLACKE,O#product_category#0
product_category#849,849,MISCHLACKE,O#product_category#0
product_category#850,850,SPRAYDOSEN,O#product_category#0
product_category#851,851,SPRAYDOSEN,O#product_category#0
product_category#852,852,SPRAYDOSEN,O#product_category#0
product_category#853,853,SPRAYDOSEN,O#product_category#0
product_category#854,854,SPRAYDOSEN,O#product_category#0
product_category#855,855,SPRAYDOSEN,O#product_category#0
product_category#879,879,SPRAYDOSEN,O#product_category#0
product_category#882,882,LACKIERZUBEHOER,O#product_category#0
product_category#883,883,LACKIERZUBEHOER,O#product_category#0
product_category#885,885,LACKIERZUBEHOER,O#product_category#0
product_category#888,888,LACKIERZUBEHOER,O#product_category#0
product_category#889,889,LACKIERZUBEHOER,O#product_category#0
product_category#899,899,LACKIERZUBEHOER SONST.,O#product_category#0
product_category#900,900,OELE,O#product_category#0
product_category#901,901,OELE,O#product_category#0
product_category#902,902,OELE,O#product_category#0
product_category#903,903,OELE,O#product_category#0
product_category#904,904,OELE,O#product_category#0
product_category#905,905,OELE,O#product_category#0
product_category#906,906,OELE,O#product_category#0
product_category#907,907,OELE,O#product_category#0
product_category#908,908,OELE,O#product_category#0
product_category#909,909,OELE,O#product_category#0
product_category#910,910,OELE,O#product_category#0
product_category#911,911,OELE,O#product_category#0
product_category#912,912,OELE,O#product_category#0
product_category#913,913,OELE,O#product_category#0
product_category#915,915,OELE,O#product_category#0
product_category#916,916,OELE,O#product_category#0
product_category#917,917,OELE,O#product_category#0
product_category#918,918,OELE,O#product_category#0
product_category#919,919,OELE,O#product_category#0
product_category#920,920,OELE,O#product_category#0
product_category#921,921,OELE,O#product_category#0
product_category#922,922,OELE,O#product_category#0
product_category#923,923,OELE,O#product_category#0
product_category#924,924,OELE,O#product_category#0
product_category#925,925,OELE,O#product_category#0
product_category#926,926,OELE,O#product_category#0
product_category#928,928,OELE,O#product_category#0
product_category#929,929,OELE,O#product_category#0
product_category#932,932,OELE,O#product_category#0
product_category#999,999,OELE SONSTIGE,O#product_category#0
product_category#1000,1000,BATTERIEN,O#product_category#0
product_category#1001,1001,BATTERIEN,O#product_category#0
product_category#1002,1002,BATTERIEN,O#product_category#0
product_category#1003,1003,BATTERIEN,O#product_category#0
product_category#1004,1004,BATTERIEN,O#product_category#0
product_category#1005,1005,BATTERIEN,O#product_category#0
product_category#1006,1006,BATTERIEN,O#product_category#0
product_category#1007,1007,BATTERIEN,O#product_category#0
product_category#1008,1008,BATTERIEN,O#product_category#0
product_category#1009,1009,BATTERIEN,O#product_category#0
product_category#1010,1010,BATTERIEN,O#product_category#0
product_category#1011,1011,BATTERIEN,O#product_category#0
product_category#1012,1012,BATTERIEN,O#product_category#0
product_category#1013,1013,BATTERIEN,O#product_category#0
product_category#1014,1014,BATTERIEN,O#product_category#0
product_category#1015,1015,BATTERIEN,O#product_category#0
product_category#1016,1016,BATTERIEN,O#product_category#0
product_category#1017,1017,BATTERIEN,O#product_category#0
product_category#1018,1018,BATTERIEN,O#product_category#0
product_category#1019,1019,BATTERIEN,O#product_category#0
product_category#1020,1020,BATTERIEN,O#product_category#0
product_category#1021,1021,BATTERIEN,O#product_category#0
product_category#1022,1022,BATTERIEN,O#product_category#0
product_category#1023,1023,BATTERIEN,O#product_category#0
product_category#1027,1027,BATTERIEN,O#product_category#0
product_category#1031,1031,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1032,1032,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1033,1033,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1035,1035,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1036,1036,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1037,1037,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1042,1042,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1043,1043,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1046,1046,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1047,1047,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1048,1048,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1049,1049,BATTERIEN,O#product_category#0
product_category#1060,1060,TROCKEN-BATTERIEN,O#product_category#0
product_category#1061,1061,TROCKEN-BATTERIEN,O#product_category#0
product_category#1062,1062,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1063,1063,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1064,1064,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1079,1079,MOTORRAD-BATTERIEN,O#product_category#0
product_category#1080,1080,LEUCHTEN/TASCHENLAM,O#product_category#0
product_category#1081,1081,LEUCHTEN/TASCHENLAM,O#product_category#0
product_category#1082,1082,LEUCHTEN/TASCHENLAM,O#product_category#0
product_category#1083,1083,LEUCHTEN/TASCHENLAM,O#product_category#0
product_category#1084,1084,LEUCHTEN/TASCHENLAM,O#product_category#0
product_category#1099,1099,LEUCHTEN/TASCHENLAM,O#product_category#0
