id,partner_id/id,partner_shipping_ids/id,tour_pricing_id/.id
partner_tour_config#24795,res_partner_id#24795,res_partner_id#24795,2
partner_tour_config#24962,res_partner_id#24962,res_partner_id#24962,2
partner_tour_config#24944,res_partner_id#24944,res_partner_id#24944,2
partner_tour_config#20975,res_partner_id#20975,res_partner_id#20975,2
partner_tour_config#22268,res_partner_id#22268,res_partner_id#22268,2
partner_tour_config#24937,res_partner_id#24937,res_partner_id#24937,2
partner_tour_config#24945,res_partner_id#24945,res_partner_id#24945,2
partner_tour_config#24946,res_partner_id#24946,res_partner_id#24946,2
partner_tour_config#24947,res_partner_id#24947,res_partner_id#24947,2
partner_tour_config#24955,res_partner_id#24955,res_partner_id#24955,2
partner_tour_config#20290,res_partner_id#20290,res_partner_id#20290,3
partner_tour_config#24555,res_partner_id#24555,res_partner_id#24555,2
partner_tour_config#22487,res_partner_id#22487,res_partner_id#22487,2
partner_tour_config#15028,res_partner_id#15028,res_partner_id#15028,3
partner_tour_config#22611,res_partner_id#22611,res_partner_id#22611,2
partner_tour_config#22552,res_partner_id#22552,res_partner_id#22552,2
partner_tour_config#22894,res_partner_id#22894,res_partner_id#22894,2
partner_tour_config#22758,res_partner_id#22758,res_partner_id#22758,2
partner_tour_config#24708,res_partner_id#24708,res_partner_id#24708,2
partner_tour_config#24305,res_partner_id#24305,res_partner_id#24305,2
partner_tour_config#23578,res_partner_id#23578,res_partner_id#23578,2
partner_tour_config#23579,res_partner_id#23579,res_partner_id#23579,2
partner_tour_config#22582,res_partner_id#22582,res_partner_id#22582,2
partner_tour_config#24440,res_partner_id#24440,res_partner_id#24440,2
partner_tour_config#24499,res_partner_id#24499,res_partner_id#24499,2
partner_tour_config#22551,res_partner_id#22551,res_partner_id#22551,2
partner_tour_config#22263,res_partner_id#22263,res_partner_id#22263,2
partner_tour_config#24964,res_partner_id#24964,res_partner_id#24964,2
partner_tour_config#71,res_partner_id#71,res_partner_id#71,5
partner_tour_config#22676,res_partner_id#22676,res_partner_id#22676,2
partner_tour_config#23800,res_partner_id#23800,res_partner_id#23800,2
partner_tour_config#22558,res_partner_id#22558,res_partner_id#22558,2
partner_tour_config#21862,res_partner_id#21862,res_partner_id#21862,2
partner_tour_config#24165,res_partner_id#24165,res_partner_id#24165,2
partner_tour_config#23135,res_partner_id#23135,res_partner_id#23135,2
partner_tour_config#22202,res_partner_id#22202,res_partner_id#22202,2
partner_tour_config#24578,res_partner_id#24578,res_partner_id#24578,2
partner_tour_config#344,res_partner_id#344,res_partner_id#344,2
partner_tour_config#22672,res_partner_id#22672,res_partner_id#22672,2
partner_tour_config#24212,res_partner_id#24212,res_partner_id#24212,2
partner_tour_config#23627,res_partner_id#23627,res_partner_id#23627,2
partner_tour_config#23272,res_partner_id#23272,res_partner_id#23272,2
partner_tour_config#22671,res_partner_id#22671,res_partner_id#22671,2
partner_tour_config#22673,res_partner_id#22673,res_partner_id#22673,2
partner_tour_config#24586,res_partner_id#24586,res_partner_id#24586,2
partner_tour_config#23136,res_partner_id#23136,res_partner_id#23136,2
partner_tour_config#24441,res_partner_id#24441,res_partner_id#24441,2
partner_tour_config#24557,res_partner_id#24557,res_partner_id#24557,2
partner_tour_config#24046,res_partner_id#24046,res_partner_id#24046,2
partner_tour_config#24767,res_partner_id#24767,res_partner_id#24767,2
partner_tour_config#12226,res_partner_id#12226,res_partner_id#12226,2
partner_tour_config#22353,res_partner_id#22353,res_partner_id#22353,2
partner_tour_config#22516,res_partner_id#22516,res_partner_id#22516,2
partner_tour_config#24449,res_partner_id#24449,res_partner_id#24449,2
partner_tour_config#24714,res_partner_id#24714,res_partner_id#24714,2
partner_tour_config#22555,res_partner_id#22555,res_partner_id#22555,2
partner_tour_config#22358,res_partner_id#22358,res_partner_id#22358,2
partner_tour_config#23137,res_partner_id#23137,res_partner_id#23137,2
partner_tour_config#22438,res_partner_id#22438,res_partner_id#22438,2
partner_tour_config#22518,res_partner_id#22518,res_partner_id#22518,2
partner_tour_config#22519,res_partner_id#22519,res_partner_id#22519,2
partner_tour_config#22517,res_partner_id#22517,res_partner_id#22517,2
partner_tour_config#22359,res_partner_id#22359,res_partner_id#22359,2
partner_tour_config#22356,res_partner_id#22356,res_partner_id#22356,2
partner_tour_config#24023,res_partner_id#24023,res_partner_id#24023,2
partner_tour_config#22352,res_partner_id#22352,res_partner_id#22352,2
partner_tour_config#22350,res_partner_id#22350,res_partner_id#22350,2
partner_tour_config#24500,res_partner_id#24500,res_partner_id#24500,2
partner_tour_config#24965,res_partner_id#24965,res_partner_id#24965,2
partner_tour_config#24966,res_partner_id#24966,res_partner_id#24966,2
partner_tour_config#24166,res_partner_id#24166,res_partner_id#24166,2
partner_tour_config#22373,res_partner_id#22373,res_partner_id#22373,2
partner_tour_config#24967,res_partner_id#24967,res_partner_id#24967,2
partner_tour_config#24968,res_partner_id#24968,res_partner_id#24968,2
partner_tour_config#23273,res_partner_id#23273,res_partner_id#23273,2
partner_tour_config#24969,res_partner_id#24969,res_partner_id#24969,2
partner_tour_config#24902,res_partner_id#24902,res_partner_id#24902,2
partner_tour_config#24903,res_partner_id#24903,res_partner_id#24903,2
partner_tour_config#23400,res_partner_id#23400,res_partner_id#23400,2
partner_tour_config#22588,res_partner_id#22588,res_partner_id#22588,2
partner_tour_config#23007,res_partner_id#23007,res_partner_id#23007,2
partner_tour_config#22634,res_partner_id#22634,res_partner_id#22634,2
partner_tour_config#24901,res_partner_id#24901,res_partner_id#24901,2
partner_tour_config#24882,res_partner_id#24882,res_partner_id#24882,2
partner_tour_config#22361,res_partner_id#22361,res_partner_id#22361,2
partner_tour_config#22367,res_partner_id#22367,res_partner_id#22367,2
partner_tour_config#22587,res_partner_id#22587,res_partner_id#22587,2
partner_tour_config#22376,res_partner_id#22376,res_partner_id#22376,2
partner_tour_config#22375,res_partner_id#22375,res_partner_id#22375,2
partner_tour_config#24024,res_partner_id#24024,res_partner_id#24024,2
partner_tour_config#24448,res_partner_id#24448,res_partner_id#24448,2
partner_tour_config#22371,res_partner_id#22371,res_partner_id#22371,2
partner_tour_config#24904,res_partner_id#24904,res_partner_id#24904,2
partner_tour_config#9866,res_partner_id#9866,res_partner_id#9866,3
partner_tour_config#24970,res_partner_id#24970,res_partner_id#24970,2
partner_tour_config#22865,res_partner_id#22865,res_partner_id#22865,2
partner_tour_config#24920,res_partner_id#24920,res_partner_id#24920,2
partner_tour_config#1262,res_partner_id#1262,res_partner_id#1262,3
partner_tour_config#21145,res_partner_id#21145,res_partner_id#21145,2
partner_tour_config#22678,res_partner_id#22678,res_partner_id#22678,2
partner_tour_config#22523,res_partner_id#22523,res_partner_id#22523,2
partner_tour_config#24025,res_partner_id#24025,res_partner_id#24025,2
partner_tour_config#23095,res_partner_id#23095,res_partner_id#23095,2
partner_tour_config#23368,res_partner_id#23368,res_partner_id#23368,2
partner_tour_config#22762,res_partner_id#22762,res_partner_id#22762,2
partner_tour_config#17782,res_partner_id#17782,res_partner_id#17782,3
partner_tour_config#23402,res_partner_id#23402,res_partner_id#23402,2
partner_tour_config#22912,res_partner_id#22912,res_partner_id#22912,2
partner_tour_config#23208,res_partner_id#23208,res_partner_id#23208,2
partner_tour_config#22539,res_partner_id#22539,res_partner_id#22539,2
partner_tour_config#23403,res_partner_id#23403,res_partner_id#23403,2
partner_tour_config#22679,res_partner_id#22679,res_partner_id#22679,2
partner_tour_config#22525,res_partner_id#22525,res_partner_id#22525,2
partner_tour_config#22214,res_partner_id#22214,res_partner_id#22214,2
partner_tour_config#22615,res_partner_id#22615,res_partner_id#22615,2
partner_tour_config#23008,res_partner_id#23008,res_partner_id#23008,2
partner_tour_config#24399,res_partner_id#24399,res_partner_id#24399,2
partner_tour_config#24581,res_partner_id#24581,res_partner_id#24581,2
partner_tour_config#22355,res_partner_id#22355,res_partner_id#22355,2
partner_tour_config#22680,res_partner_id#22680,res_partner_id#22680,2
partner_tour_config#22529,res_partner_id#22529,res_partner_id#22529,2
partner_tour_config#261,res_partner_id#261,res_partner_id#261,3
partner_tour_config#24876,res_partner_id#24876,res_partner_id#24876,2
partner_tour_config#24002,res_partner_id#24002,res_partner_id#24002,2
partner_tour_config#24860,res_partner_id#24860,res_partner_id#24860,2
partner_tour_config#22764,res_partner_id#22764,res_partner_id#22764,2
partner_tour_config#24533,res_partner_id#24533,res_partner_id#24533,2
partner_tour_config#22817,res_partner_id#22817,res_partner_id#22817,2
partner_tour_config#23210,res_partner_id#23210,res_partner_id#23210,2
partner_tour_config#23011,res_partner_id#23011,res_partner_id#23011,2
partner_tour_config#23631,res_partner_id#23631,res_partner_id#23631,2
partner_tour_config#23369,res_partner_id#23369,res_partner_id#23369,2
partner_tour_config#24055,res_partner_id#24055,res_partner_id#24055,2
partner_tour_config#22616,res_partner_id#22616,res_partner_id#22616,2
partner_tour_config#24660,res_partner_id#24660,res_partner_id#24660,2
partner_tour_config#22617,res_partner_id#22617,res_partner_id#22617,2
partner_tour_config#22681,res_partner_id#22681,res_partner_id#22681,2
partner_tour_config#22765,res_partner_id#22765,res_partner_id#22765,2
partner_tour_config#23123,res_partner_id#23123,res_partner_id#23123,2
partner_tour_config#22620,res_partner_id#22620,res_partner_id#22620,2
partner_tour_config#22619,res_partner_id#22619,res_partner_id#22619,2
partner_tour_config#24167,res_partner_id#24167,res_partner_id#24167,2
partner_tour_config#23470,res_partner_id#23470,res_partner_id#23470,2
partner_tour_config#23012,res_partner_id#23012,res_partner_id#23012,2
partner_tour_config#16432,res_partner_id#16432,res_partner_id#16432,5
partner_tour_config#22866,res_partner_id#22866,res_partner_id#22866,2
partner_tour_config#22623,res_partner_id#22623,res_partner_id#22623,2
partner_tour_config#24837,res_partner_id#24837,res_partner_id#24837,2
partner_tour_config#24401,res_partner_id#24401,res_partner_id#24401,2
partner_tour_config#23084,res_partner_id#23084,res_partner_id#23084,2
partner_tour_config#24168,res_partner_id#24168,res_partner_id#24168,2
partner_tour_config#22624,res_partner_id#22624,res_partner_id#22624,2
partner_tour_config#22559,res_partner_id#22559,res_partner_id#22559,2
partner_tour_config#22767,res_partner_id#22767,res_partner_id#22767,2
partner_tour_config#23014,res_partner_id#23014,res_partner_id#23014,2
partner_tour_config#4517,res_partner_id#4517,res_partner_id#4517,3
partner_tour_config#22683,res_partner_id#22683,res_partner_id#22683,2
partner_tour_config#22629,res_partner_id#22629,res_partner_id#22629,2
